id,team.name,player.name,pass.length,pass.recipient.name,location.x,x,location.y,y,pass.end_location.x,endX,pass.end_location.y,endY,pass.outcome.name,pass.type.name,StartBin,EndBin
b1c972d2-a186-4da0-a4c7-8c4e2d62736d,Barcelona,NÃ©lson Cabral Semedo,12.649111,Gerard PiquÃ© BernabÃ©u,99,82.5,58,72.5,108,90,79,98.75,Incomplete,Corner,42,46
5c612d4d-e96d-4f30-a3ac-9a367530a900,Barcelona,Xavier HernÃ¡ndez Creus,14.866069,Lionel AndrÃ©s Messi Cuccittini,55.1,45.91666667,26,32.5,112.1,93.41666667,71.7,89.625,Incomplete,Corner,24,46
2816a017-f90b-4389-a00d-a2f849a70c8c,Barcelona,Daniel Alves da Silva,12.379418,Ibrahim Afellay,54.6,45.5,77.1,96.375,119,99.16666667,71,88.75,Incomplete,Corner,21,46
53d4a71c-a19f-4ccf-8e31-6f7fed71121d,Osasuna,RaÃºl GarcÃ­a Escudero,5.508176,Francisco PuÃ±al MartÃ­nez,69.2,57.66666667,19.5,24.375,113.7,94.75,69.6,87,Incomplete,Corner,29,46
377f24fc-b09a-4c3c-98a6-da56c049954b,Barcelona,Pedro Eliezer RodrÃ­guez Ledesma,23.579016,Adriano Correia Claro,90.2,75.16666667,70.6,88.25,112.4,93.66666667,67.5,84.375,Incomplete,Corner,36,46
5dc8809b-984a-49ac-9352-1a19173e7adb,Nigeria,Leon-Aderemi Balogun,37.215588,Kenneth Josiah Omeruo,36,30,10.7,13.375,112.4,93.66666667,67.3,84.125,Incomplete,Corner,20,46
332030a7-fcbb-4479-8cbc-3516bd786358,Barcelona,JÃ©rÃ©my Mathieu,12.525574,Sergi Roberto Carnicer,32,26.66666667,80,100,119,99.16666667,67,83.75,Incomplete,Corner,11,46
f90b07fb-6d49-407c-a80e-8aac39eb4937,Real Sociedad,Mikel Merino ZazÃ³n,13.978912,Mikel Oyarzabal Ugarte,90.7,75.58333333,80,100,88,73.33333333,66,82.5,Incomplete,Corner,36,36
0c083c62-1625-4a1a-b8db-86ff134718b0,Sevilla,Manuel del Moral FernÃ¡ndez,10.324728,Ivan Rakitic,71.7,59.75,20.6,25.75,113.2,94.33333333,65.9,82.375,Incomplete,Corner,29,46
d559c06e-459b-4ed8-b784-c3c3fccde76e,Barcelona,Oleguer Presas Renom,7.8517513,AndrÃ©s Iniesta LujÃ¡n,39.9,33.25,6.5,8.125,114.8,95.66666667,64.1,80.125,Incomplete,Corner,20,46
acfb5088-e194-442f-81b2-681b96e89f09,Barcelona,Javier Alejandro Mascherano,31.657068,Gerard PiquÃ© BernabÃ©u,8.5,7.083333333,44,55,117,97.5,61.4,76.75,Incomplete,Corner,3,47
cfd21141-d390-47bd-a16b-1eb343ef3f54,Barcelona,Gianluca Zambrotta,9.0448885,AndrÃ©s Iniesta LujÃ¡n,65.8,54.83333333,32.8,41,112.1,93.41666667,61,76.25,Incomplete,Corner,28,47
5e7308e0-a95e-45d9-8f7a-10117137f971,Barcelona,Gerard PiquÃ© BernabÃ©u,11.00727,Daniel Alves da Silva,44,36.66666667,76.4,95.5,111,92.5,61,76.25,Incomplete,Corner,16,47
0f800037-a450-4ecc-9ed9-21f55a843ec3,Barcelona,Jordi Alba Ramos,19.532793,Frenkie de Jong,68.8,57.33333333,38.2,47.75,110.9,92.41666667,60.8,76,Incomplete,Corner,28,47
ee873632-dfb1-4273-8687-83f50b62a327,Barcelona,Gabriel Alejandro Milito,32.51123,JosÃ© Manuel Pinto Colorado,52.4,43.66666667,5.8,7.25,99.3,82.75,60,75,Incomplete,Corner,25,42
3ed6b3ad-4cdb-4584-9158-8caad2aee5d7,Real Madrid,Marcelo Vieira da Silva JÃºnior,20.59126,Sergio Ramos GarcÃ­a,69,57.5,20.8,26,108.5,90.41666667,59.8,74.75,Incomplete,Corner,29,47
e81cb97a-5de6-4baa-bc01-475a815521de,Barcelona,Lionel AndrÃ©s Messi Cuccittini,12.44508,Francesc FÃ bregas i Soler,59.9,49.91666667,41.3,51.625,108.8,90.66666667,59.5,74.375,Incomplete,Corner,23,47
457200ea-7313-42cc-bd7b-25e5d86e0c93,Osasuna,Jordan LotiÃ¨s,52.587452,Oier Sanjurjo Mate,13.3,11.08333333,52.8,66,109.1,90.91666667,59,73.75,Incomplete,Corner,7,47
58eb4892-6bef-4e3a-a00f-54aeac9e6271,Barcelona,Ricard Puig MartÃ­,8.20975,Lionel AndrÃ©s Messi Cuccittini,90.6,75.5,69.5,86.875,115.8,96.5,58.6,73.25,Incomplete,Corner,36,47
acd4cd09-ae98-4c3a-b98e-95c06cbfc89e,Barcelona,Daniel Alves da Silva,11.733712,Sergio Busquets i Burgos,78.1,65.08333333,37,46.25,110.5,92.08333333,58.1,72.625,Incomplete,Corner,33,47
dc6a83c2-e49f-4240-ba88-2f7b7feb1536,Barcelona,Carles Puyol i Saforcada,10.277159,Xavier HernÃ¡ndez Creus,62.5,52.08333333,23.5,29.375,108.8,90.66666667,58,72.5,Incomplete,Corner,29,47
0795a5c7-388d-4153-af15-c53153f838aa,Barcelona,Jordi Alba Ramos,24.426624,Javier Alejandro Mascherano,71.7,59.75,37.9,47.375,100.6,83.83333333,57.7,72.125,Incomplete,Corner,28,42
3acd4fd5-f874-432d-b16a-d34c92c5c6af,Barcelona,Xavier HernÃ¡ndez Creus,18.59301,Eric-Sylvain Bilal Abidal,79.3,66.08333333,16,20,97.6,81.33333333,56.7,70.875,Incomplete,Corner,35,42
3bc6ef82-d244-4db8-9e0a-fa1ba2dbff38,Sweden,Ola Toivonen,5,Viktor Claesson,59,49.16666667,14.1,17.625,115.1,95.91666667,56.2,70.25,Incomplete,Corner,25,47
94c61d71-64be-4aa5-94ef-97fc4d070213,Real Madrid,Sami Khedira,15.6205,RaphaÃ«l Varane,57,47.5,80,100,104,86.66666667,56,70,Incomplete,Corner,21,42
3994e3af-1fab-4404-9439-017887ba3894,Barcelona,Sergio Busquets i Burgos,32.097507,Alexis Alejandro SÃ¡nchez SÃ¡nchez,53.4,44.5,4.4,5.5,113.1,94.25,55.2,69,Incomplete,Corner,25,47
62646f9e-555d-4c73-8637-8414bc026015,Barcelona,Anderson LuÃ­s de Souza,26.192556,Ronaldo de Assis Moreira,47.4,39.5,58.1,72.625,114,95,55,68.75,Incomplete,Corner,17,47
672f063e-e0ab-4f98-abe9-d81ef0919728,Barcelona,Carles Puyol i Saforcada,28.426924,Zlatan Ibrahimovic,35,29.16666667,58.9,73.625,108,90,55,68.75,Incomplete,Corner,12,47
